aircraft_id,registration,model,manufacturer,seats,airline_code,year_built
1,C-FLTT,A220-300,Airbus,137,AC,2022
2,C-FDHW,A220-300,Airbus,137,AC,2021
3,C-FPVU,A321neo,Airbus,196,AC,2023
4,C-FSVR,A321neo,Airbus,196,AC,2015
5,C-FAWC,A321neo,Airbus,196,AC,2013
6,C-FKDR,A321neo,Airbus,196,AC,2012
7,C-FSYL,737 MAX 8,Boeing,174,AC,2015
8,C-FNJM,737 MAX 8,Boeing,174,AC,2017
9,C-FNTX,737 MAX 8,Boeing,174,AC,2013
10,C-FLCU,737 MAX 8,Boeing,174,AC,2020
11,C-FKRE,787-9,Boeing,298,AC,2022
12,C-FZZV,787-9,Boeing,298,AC,2016
13,C-FAZM,787-9,Boeing,298,AC,2017
14,C-FPCN,A330-300,Airbus,297,AC,2021
15,C-FUSD,A330-300,Airbus,297,AC,2018
16,C-FTWS,A330-300,Airbus,297,AC,2018
17,C-GJPV,737 MAX 8,Boeing,174,WS,2019
18,C-GTTA,737 MAX 8,Boeing,174,WS,2021
19,C-GHEB,737 MAX 8,Boeing,174,WS,2023
20,C-GTYD,737 MAX 8,Boeing,174,WS,2023
21,C-GPSE,787-9,Boeing,298,WS,2019
22,C-GHDX,787-9,Boeing,298,WS,2023
23,C-GRYS,787-9,Boeing,298,WS,2023
24,C-GUJU,787-9,Boeing,298,WS,2018
25,C-GKUX,E195-E2,Embraer,132,PD,2020
26,C-GZSN,E195-E2,Embraer,132,PD,2018
27,C-GGKJ,E195-E2,Embraer,132,PD,2012
28,C-GBEX,E195-E2,Embraer,132,PD,2021
29,C-GTSM,Dash 8-400,De Havilland,78,PD,2015
30,C-GJZS,Dash 8-400,De Havilland,78,PD,2019
31,C-GTSP,Dash 8-400,De Havilland,78,PD,2020
32,C-GBKL,A321neo,Airbus,196,TS,2019
33,C-GDRZ,A321neo,Airbus,196,TS,2023
34,C-GTJR,A321neo,Airbus,196,TS,2014
35,C-GPSC,A321neo,Airbus,196,TS,2022
36,C-GSMD,A330-300,Airbus,297,TS,2015
37,C-GPER,A330-300,Airbus,297,TS,2012
38,C-GCAR,A330-300,Airbus,297,TS,2021
39,C-FCWG,737 MAX 8,Boeing,174,F8,2015
40,C-FDWB,737 MAX 8,Boeing,174,F8,2024
41,C-FUJY,737 MAX 8,Boeing,174,F8,2024
42,C-FXME,737 MAX 8,Boeing,174,F8,2012
43,N887YV,737 MAX 8,Boeing,174,UA,2019
44,N328ZE,737 MAX 8,Boeing,174,UA,2019
45,N997VE,737 MAX 8,Boeing,174,UA,2023
46,N784KC,A320neo,Airbus,174,UA,2014
47,N619EV,A320neo,Airbus,174,UA,2018
48,N926NE,A320neo,Airbus,174,UA,2015
49,N498NA,A320neo,Airbus,174,UA,2013
50,N888MX,A220-300,Airbus,137,DL,2012
51,N435AT,A220-300,Airbus,137,DL,2022
52,N609RL,A321neo,Airbus,196,DL,2019
53,N257VW,A321neo,Airbus,196,DL,2021
54,N738TG,A321neo,Airbus,196,DL,2017
55,F-HWHY,A330-300,Airbus,297,AF,2023
56,F-HCUN,A330-300,Airbus,297,AF,2012
57,F-HGXF,A330-300,Airbus,297,AF,2012
58,F-HUBR,787-9,Boeing,298,AF,2024
59,F-HXGS,787-9,Boeing,298,AF,2023
60,F-HYAE,787-9,Boeing,298,AF,2022
61,F-HTGT,787-9,Boeing,298,AF,2014
