flight_id,flight_number,flight_date,airline_code,aircraft_id,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,distance_km,passengers,status
1,F81461,2025-01-01,F8,40,YYC,YWG,2025-01-01 06:15:00,2025-01-01 06:12:00,2025-01-01 08:13:00,2025-01-01 08:03:00,-3,-10,1191,162,À l'heure
2,AC1819,2025-01-01,AC,4,YYC,YUL,2025-01-01 06:20:00,2025-01-01 06:20:00,2025-01-01 10:47:00,2025-01-01 10:53:00,0,6,3005,163,À l'heure
3,DL768,2025-01-01,DL,50,JFK,YUL,2025-01-01 06:25:00,2025-01-01 06:25:00,2025-01-01 07:29:00,2025-01-01 07:22:00,0,-7,537,91,À l'heure
4,AC435,2025-01-01,AC,8,YYZ,YYC,2025-01-01 07:05:00,2025-01-01 07:11:00,2025-01-01 11:02:00,2025-01-01 11:04:00,6,2,2689,155,À l'heure
5,AC396,2025-01-01,AC,4,YYC,YYZ,2025-01-01 08:25:00,2025-01-01 08:24:00,2025-01-01 12:16:00,2025-01-01 12:14:00,-1,-2,2689,123,À l'heure
6,AC820,2025-01-01,AC,4,YUL,YYZ,2025-01-01 08:35:00,2025-01-01 08:43:00,2025-01-01 09:45:00,2025-01-01 09:44:00,8,-1,507,189,À l'heure
7,AC829,2025-01-01,AC,10,YVR,YUL,2025-01-01 09:00:00,2025-01-01 09:04:00,2025-01-01 14:05:00,2025-01-01 14:08:00,4,3,3682,144,À l'heure
8,PD137,2025-01-01,PD,31,YQB,YUL,2025-01-01 11:05:00,2025-01-01 11:17:00,2025-01-01 11:53:00,2025-01-01 11:54:00,12,1,233,76,À l'heure
9,PD390,2025-01-01,PD,29,YUL,YHZ,2025-01-01 18:30:00,2025-01-01 18:36:00,2025-01-01 20:10:00,2025-01-01 20:18:00,6,8,804,51,À l'heure
10,AC1381,2025-01-02,AC,2,YYZ,YUL,2025-01-02 06:20:00,2025-01-02 06:21:00,2025-01-02 07:23:00,2025-01-02 07:34:00,1,11,507,107,À l'heure
11,WS1245,2025-01-02,WS,17,YVR,YYC,2025-01-02 07:00:00,2025-01-02 06:55:00,2025-01-02 08:27:00,2025-01-02 08:13:00,-5,-14,687,122,À l'heure
12,F8674,2025-01-02,F8,40,YYZ,YVR,2025-01-02 10:55:00,2025-01-02 11:22:00,2025-01-02 15:35:00,2025-01-02 16:09:00,27,34,3346,162,Retardé
13,AC175,2025-01-02,AC,11,LHR,YUL,2025-01-02 13:35:00,2025-01-02 13:38:00,2025-01-02 20:43:00,2025-01-02 20:42:00,3,-1,5215,274,À l'heure
14,AC921,2025-01-02,AC,5,LAX,YUL,2025-01-02 14:15:00,2025-01-02 14:27:00,2025-01-02 19:48:00,2025-01-02 20:04:00,12,16,3973,153,Retardé
15,AC1496,2025-01-02,AC,9,YYZ,YOW,2025-01-02 17:35:00,2025-01-02 17:48:00,2025-01-02 18:36:00,2025-01-02 18:45:00,13,9,363,155,À l'heure
16,AC1036,2025-01-03,AC,14,CDG,YUL,2025-01-03 06:00:00,2025-01-03 06:07:00,2025-01-03 13:28:00,2025-01-03 13:45:00,7,17,5523,206,Retardé
17,WS131,2025-01-03,WS,19,YYZ,YUL,2025-01-03 08:20:00,2025-01-03 08:24:00,2025-01-03 09:30:00,2025-01-03 09:44:00,4,14,507,123,À l'heure
18,WS252,2025-01-03,WS,20,YYC,YVR,2025-01-03 11:35:00,,2025-01-03 12:51:00,,,,687,,Annulé
19,WS398,2025-01-03,WS,17,YVR,YYZ,2025-01-03 13:40:00,2025-01-03 13:36:00,2025-01-03 18:27:00,2025-01-03 18:13:00,-4,-14,3346,164,À l'heure
20,PD895,2025-01-03,PD,29,YHZ,YUL,2025-01-03 15:00:00,2025-01-03 15:01:00,2025-01-03 16:41:00,2025-01-03 16:37:00,1,-4,804,58,À l'heure
21,AC1375,2025-01-03,AC,3,YVR,YYZ,2025-01-03 17:10:00,2025-01-03 17:27:00,2025-01-03 22:00:00,2025-01-03 22:07:00,17,7,3346,150,À l'heure
22,AF1419,2025-01-03,AF,58,YUL,CDG,2025-01-03 19:00:00,2025-01-03 18:56:00,2025-01-04 02:33:00,2025-01-04 02:19:00,-4,-14,5523,220,À l'heure
23,AC1697,2025-01-03,AC,7,YUL,YYZ,2025-01-03 19:40:00,2025-01-03 19:49:00,2025-01-03 20:53:00,2025-01-03 20:56:00,9,3,507,136,À l'heure
24,TS1158,2025-01-03,TS,38,YUL,CDG,2025-01-03 20:25:00,2025-01-03 21:31:00,2025-01-04 03:49:00,2025-01-04 05:02:00,66,73,5523,265,Retardé
25,AC443,2025-01-04,AC,14,LHR,YYZ,2025-01-04 06:15:00,2025-01-04 06:26:00,2025-01-04 13:56:00,2025-01-04 14:04:00,11,8,5707,193,À l'heure
26,WS874,2025-01-04,WS,18,YWG,YYC,2025-01-04 10:45:00,2025-01-04 10:47:00,2025-01-04 12:47:00,2025-01-04 12:52:00,2,5,1191,141,À l'heure
27,PD1836,2025-01-04,PD,27,YUL,YYZ,2025-01-04 11:25:00,2025-01-04 11:20:00,2025-01-04 12:41:00,2025-01-04 12:30:00,-5,-11,507,120,À l'heure
28,AC755,2025-01-04,AC,10,YUL,LAX,2025-01-04 12:10:00,2025-01-04 12:23:00,2025-01-04 17:47:00,2025-01-04 17:56:00,13,9,3973,160,À l'heure
29,WS1670,2025-01-04,WS,17,YHZ,YYZ,2025-01-04 12:30:00,2025-01-04 12:50:00,2025-01-04 14:30:00,2025-01-04 14:52:00,20,22,1288,127,Retardé
30,WS348,2025-01-04,WS,18,YYC,YEG,2025-01-04 14:00:00,2025-01-04 14:46:00,2025-01-04 14:54:00,2025-01-04 15:26:00,46,32,244,135,Retardé
31,F81675,2025-01-04,F8,41,YUL,YVR,2025-01-04 15:25:00,2025-01-04 15:38:00,2025-01-04 20:27:00,2025-01-04 20:36:00,13,9,3682,126,À l'heure
32,F81126,2025-01-04,F8,39,YUL,YVR,2025-01-04 16:45:00,2025-01-04 16:53:00,2025-01-04 21:52:00,2025-01-04 22:07:00,8,15,3682,131,À l'heure
33,TS210,2025-01-04,TS,32,YUL,CUN,2025-01-04 17:20:00,2025-01-04 17:20:00,2025-01-04 21:41:00,2025-01-04 21:36:00,0,-5,2970,136,À l'heure
34,WS287,2025-01-04,WS,20,YYC,YYZ,2025-01-04 17:55:00,2025-01-04 18:11:00,2025-01-04 21:47:00,2025-01-04 22:06:00,16,19,2689,145,Retardé
35,PD1766,2025-01-04,PD,30,YUL,YQB,2025-01-04 21:50:00,2025-01-04 21:50:00,2025-01-04 22:47:00,2025-01-04 22:33:00,0,-14,233,75,À l'heure
36,WS194,2025-01-05,WS,20,YYZ,YWG,2025-01-05 06:10:00,2025-01-05 06:11:00,2025-01-05 08:36:00,2025-01-05 08:31:00,1,-5,1504,109,À l'heure
37,AC360,2025-01-05,AC,8,LAX,YVR,2025-01-05 09:15:00,2025-01-05 09:13:00,2025-01-05 12:04:00,2025-01-05 12:03:00,-2,-1,1741,114,À l'heure
38,PD891,2025-01-05,PD,27,YOW,YYZ,2025-01-05 09:20:00,2025-01-05 09:28:00,2025-01-05 10:18:00,2025-01-05 10:26:00,8,8,363,108,À l'heure
39,AC1514,2025-01-05,AC,10,YWG,YYZ,2025-01-05 09:55:00,2025-01-05 09:56:00,2025-01-05 12:21:00,2025-01-05 12:30:00,1,9,1504,164,À l'heure
40,PD511,2025-01-05,PD,30,YOW,YUL,2025-01-05 10:55:00,2025-01-05 10:53:00,2025-01-05 11:40:00,2025-01-05 11:32:00,-2,-8,151,58,À l'heure
41,F81360,2025-01-05,F8,40,YYZ,YVR,2025-01-05 12:20:00,2025-01-05 12:42:00,2025-01-05 17:11:00,2025-01-05 17:39:00,22,28,3346,132,Retardé
42,AC1654,2025-01-05,AC,9,ORD,YUL,2025-01-05 16:25:00,2025-01-05 16:23:00,2025-01-05 18:33:00,2025-01-05 18:39:00,-2,6,1201,165,À l'heure
43,AC562,2025-01-05,AC,8,YUL,ORD,2025-01-05 17:05:00,2025-01-05 17:03:00,2025-01-05 19:00:00,2025-01-05 18:52:00,-2,-8,1201,155,À l'heure
44,TS549,2025-01-05,TS,37,CDG,YUL,2025-01-05 17:05:00,2025-01-05 17:23:00,2025-01-06 00:43:00,2025-01-06 00:51:00,18,8,5523,219,À l'heure
45,AC930,2025-01-05,AC,13,YYZ,LHR,2025-01-05 21:10:00,2025-01-05 21:21:00,2025-01-06 05:01:00,2025-01-06 05:15:00,11,14,5707,203,À l'heure
46,UA170,2025-01-06,UA,44,YYZ,ORD,2025-01-06 09:35:00,2025-01-06 09:35:00,2025-01-06 11:07:00,2025-01-06 11:09:00,0,2,701,147,À l'heure
47,DL158,2025-01-06,DL,54,YVR,LAX,2025-01-06 11:20:00,,2025-01-06 14:11:00,,,,1741,,Annulé
48,WS904,2025-01-06,WS,17,YVR,YYC,2025-01-06 11:40:00,2025-01-06 11:37:00,2025-01-06 13:10:00,2025-01-06 13:04:00,-3,-6,687,122,À l'heure
49,PD1238,2025-01-06,PD,29,YYZ,YUL,2025-01-06 12:05:00,2025-01-06 12:14:00,2025-01-06 13:13:00,2025-01-06 13:26:00,9,13,507,55,À l'heure
50,AC837,2025-01-06,AC,2,YUL,CUN,2025-01-06 15:35:00,2025-01-06 16:29:00,2025-01-06 19:44:00,2025-01-06 20:34:00,54,50,2970,117,Retardé
51,AC1897,2025-01-06,AC,7,YEG,YVR,2025-01-06 16:40:00,2025-01-06 16:59:00,2025-01-06 18:14:00,2025-01-06 18:26:00,19,12,809,115,À l'heure
52,PD320,2025-01-06,PD,27,YYZ,YOW,2025-01-06 17:30:00,2025-01-06 17:38:00,2025-01-06 18:19:00,2025-01-06 18:28:00,8,9,363,128,À l'heure
53,AC157,2025-01-06,AC,15,YUL,LHR,2025-01-06 18:55:00,2025-01-06 19:01:00,2025-01-07 02:02:00,2025-01-07 02:11:00,6,9,5215,198,À l'heure
54,UA189,2025-01-06,UA,48,ORD,YYZ,2025-01-06 21:00:00,2025-01-06 21:25:00,2025-01-06 22:24:00,2025-01-06 22:44:00,25,20,701,146,Retardé
55,DL744,2025-01-06,DL,54,YUL,JFK,2025-01-06 21:30:00,2025-01-06 22:06:00,2025-01-06 22:43:00,2025-01-06 23:21:00,36,38,537,123,Retardé
56,AC1162,2025-01-07,AC,2,JFK,YUL,2025-01-07 08:30:00,2025-01-07 08:39:00,2025-01-07 09:40:00,2025-01-07 09:50:00,9,10,537,90,À l'heure
57,F8424,2025-01-07,F8,40,YYZ,YYC,2025-01-07 08:30:00,2025-01-07 08:58:00,2025-01-07 12:29:00,2025-01-07 12:58:00,28,29,2689,121,Retardé
58,WS940,2025-01-07,WS,20,YEG,YYC,2025-01-07 08:30:00,2025-01-07 08:30:00,2025-01-07 09:18:00,2025-01-07 09:18:00,0,0,244,154,À l'heure
59,AC317,2025-01-07,AC,2,YYZ,YUL,2025-01-07 14:05:00,2025-01-07 14:19:00,2025-01-07 15:18:00,2025-01-07 15:23:00,14,5,507,116,À l'heure
60,PD1063,2025-01-07,PD,30,YUL,YOW,2025-01-07 14:25:00,2025-01-07 14:24:00,2025-01-07 15:14:00,2025-01-07 15:19:00,-1,5,151,75,À l'heure
61,WS529,2025-01-07,WS,18,CUN,YUL,2025-01-07 14:40:00,2025-01-07 14:52:00,2025-01-07 19:03:00,2025-01-07 19:01:00,12,-2,2970,136,À l'heure
62,AC1309,2025-01-07,AC,9,YYZ,YHZ,2025-01-07 16:30:00,2025-01-07 16:44:00,2025-01-07 18:30:00,2025-01-07 18:33:00,14,3,1288,144,À l'heure
63,AC330,2025-01-07,AC,5,YVR,YUL,2025-01-07 19:25:00,2025-01-07 19:38:00,2025-01-08 00:44:00,2025-01-08 00:44:00,13,0,3682,172,À l'heure
64,WS912,2025-01-07,WS,18,YUL,YYC,2025-01-07 19:50:00,2025-01-07 19:54:00,2025-01-08 00:07:00,2025-01-08 00:14:00,4,7,3005,150,À l'heure
65,WS877,2025-01-07,WS,18,YVR,YEG,2025-01-07 21:55:00,2025-01-07 22:01:00,2025-01-07 23:22:00,2025-01-07 23:18:00,6,-4,809,107,À l'heure
66,WS867,2025-01-08,WS,19,YYC,YEG,2025-01-08 06:40:00,2025-01-08 07:17:00,2025-01-08 07:24:00,2025-01-08 07:49:00,37,25,244,159,Retardé
67,DL396,2025-01-08,DL,54,YVR,LAX,2025-01-08 09:25:00,2025-01-08 09:29:00,2025-01-08 12:07:00,2025-01-08 12:17:00,4,10,1741,187,À l'heure
68,AC178,2025-01-08,AC,13,LHR,YUL,2025-01-08 13:30:00,2025-01-08 13:34:00,2025-01-08 20:35:00,2025-01-08 20:46:00,4,11,5215,185,À l'heure
69,AC613,2025-01-08,AC,3,LAX,YVR,2025-01-08 17:10:00,2025-01-08 17:32:00,2025-01-08 19:44:00,2025-01-08 19:56:00,22,12,1741,163,À l'heure
70,F8440,2025-01-08,F8,40,YVR,YYC,2025-01-08 18:50:00,2025-01-08 18:53:00,2025-01-08 20:07:00,2025-01-08 20:10:00,3,3,687,110,À l'heure
71,AC240,2025-01-08,AC,4,YUL,JFK,2025-01-08 19:20:00,2025-01-08 20:08:00,2025-01-08 20:26:00,2025-01-08 21:12:00,48,46,537,172,Retardé
72,WS187,2025-01-09,WS,19,CUN,YUL,2025-01-09 08:35:00,2025-01-09 08:48:00,2025-01-09 12:47:00,2025-01-09 13:00:00,13,13,2970,160,À l'heure
73,WS910,2025-01-09,WS,18,YEG,YYC,2025-01-09 11:15:00,2025-01-09 11:30:00,2025-01-09 12:11:00,2025-01-09 12:29:00,15,18,244,136,Retardé
74,WS1845,2025-01-09,WS,19,YYC,YUL,2025-01-09 11:40:00,2025-01-09 11:49:00,2025-01-09 16:03:00,2025-01-09 16:07:00,9,4,3005,133,À l'heure
75,F8680,2025-01-09,F8,41,YVR,YYZ,2025-01-09 14:45:00,,2025-01-09 19:29:00,,,,3346,,Annulé
76,WS1504,2025-01-09,WS,18,YUL,YVR,2025-01-09 20:35:00,2025-01-09 20:50:00,2025-01-10 01:39:00,2025-01-10 01:44:00,15,5,3682,113,À l'heure
77,AC1725,2025-01-09,AC,1,YUL,JFK,2025-01-09 20:40:00,2025-01-09 21:17:00,2025-01-09 21:42:00,2025-01-09 22:22:00,37,40,537,118,Retardé
78,PD408,2025-01-10,PD,29,YYZ,YUL,2025-01-10 09:30:00,2025-01-10 09:56:00,2025-01-10 10:37:00,2025-01-10 11:13:00,26,36,507,57,Retardé
79,UA464,2025-01-10,UA,43,ORD,YYZ,2025-01-10 09:35:00,2025-01-10 09:35:00,2025-01-10 11:07:00,2025-01-10 10:57:00,0,-10,701,129,À l'heure
80,PD863,2025-01-10,PD,30,YOW,YUL,2025-01-10 09:50:00,2025-01-10 09:52:00,2025-01-10 10:33:00,2025-01-10 10:42:00,2,9,151,51,À l'heure
81,AC1488,2025-01-10,AC,1,LAX,YUL,2025-01-10 10:20:00,2025-01-10 10:35:00,2025-01-10 15:57:00,2025-01-10 16:07:00,15,10,3973,91,À l'heure
82,WS981,2025-01-10,WS,19,YYC,YWG,2025-01-10 11:20:00,2025-01-10 11:21:00,2025-01-10 13:24:00,2025-01-10 13:15:00,1,-9,1191,155,À l'heure
